gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
2024,하계2동,12934,26419,27732,26820,36865,42001,32705,26426
2024,한강로동,13213,10411,34378,53582,31073,34881,29780,22840
2024,한남동,10234,10244,18619,29979,28003,26692,22585,20448
2024,합정동,6552,7750,31999,39907,26267,24191,20965,20151
2024,항동,25639,17097,14727,31589,36715,20666,19010,13420
2024,행당제1동,9042,10897,23664,25029,22411,23915,19324,16755
2024,행당제2동,16688,20503,27669,37934,38535,43637,33790,31289
2024,행운동,9172,13539,82092,67511,37284,37555,35411,34824
2024,혜화동,5358,13482,47564,22359,20433,25655,19102,21476
2024,홍은제1동,13475,16268,28428,32700,34173,42404,39688,35872
2024,홍은제2동,15639,23820,44838,43607,43406,52812,46615,41400
2024,홍제제1동,15341,18845,33537,39579,38677,46521,40789,37532
2024,홍제제2동,6861,9267,16639,20870,17674,26181,24312,21479
2024,홍제제3동,10683,11912,24356,26532,24847,33833,29896,31187
2024,화곡본동,14574,23540,58885,66605,54891,53217,49153,38444
2024,화곡제1동,20726,23930,95464,110600,79022,78826,79353,65295
2024,화곡제2동,8444,13742,25336,28349,29641,30956,27670,22227
2024,화곡제3동,10372,17194,31995,33368,33327,34830,37406,32058
2024,화곡제4동,8471,13081,26328,31368,32639,35916,35909,30388
2024,화곡제6동,15431,15281,47223,56116,38788,40269,41368,30242
2024,화곡제8동,9180,15048,37721,40307,38173,39631,39009,34631
2024,화양동,3248,7510,112397,52632,22032,21349,17899,17931
2024,황학동,6624,5019,23956,33973,20297,18604,17669,15316
2024,회기동,3231,8006,37865,16472,12593,13198,10541,12075
2024,회현동,1722,2166,4566,5813,5708,8533,10221,9115
2024,효창동,7639,7375,16958,21877,17367,19072,13818,12322
2024,후암동,7311,11965,23460,30624,24954,28384,25526,22798
2024,휘경제1동,6959,8925,40812,22536,17537,20822,16322,16808
2024,휘경제2동,10161,21060,63932,34072,33557,39213,32742,31949
2024,흑석동,24585,24962,48869,44978,51144,54709,42820,39684
