sido,gugun,dong,jibun,complex_name,area_m2,deal_ym,deal_day,price_만원,floor,built_year,deal_date,행정동+단지명
서울특별시,동작구,사당동,105,극동(105),59.25,202408,23,100000,15,1993,2024-08-23,극동(105)
서울특별시,동대문구,휘경동,57,주공1,84.75,202408,23,79300,7,2001,2024-08-23,휘경동주공1
서울특별시,동대문구,휘경동,57,주공2,39.98,202408,23,43480,5,2001,2024-08-23,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,59.13,202408,22,67000,15,2001,2024-08-22,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,59.13,202408,22,61000,12,2001,2024-08-22,휘경동주공2
서울특별시,동작구,사당동,105,사당우성3,108.08,202408,22,100000,11,1993,2024-08-22,사당우성3
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202408,22,148000,13,1992,2024-08-22,삼익대청아파트
서울특별시,동작구,사당동,105,신동아4,118.25,202408,21,129000,3,1993,2024-08-21,사당동신동아4
서울특별시,강남구,개포동,185,개포주공7단지,83.7,202408,19,288000,12,1983,2024-08-19,개포주공7단지
서울특별시,광진구,광장동,218-1,극동2,75.55,202408,17,165000,13,1989,2024-08-17,극동2
서울특별시,동대문구,휘경동,57,주공1,114.96,202408,17,88700,8,2001,2024-08-17,휘경동주공1
서울특별시,노원구,하계동,284,청구,70.69,202408,17,71300,4,1988,2024-08-17,하계동청구
서울특별시,동작구,사당동,105,사당우성2,84.66,202408,16,122500,3,1993,2024-08-16,사당우성2
서울특별시,동작구,사당동,105,사당우성3,84.66,202408,16,109000,1,1993,2024-08-16,사당우성3
서울특별시,동작구,사당동,105,극동(105),84.32,202408,16,102700,9,1993,2024-08-16,극동(105)
서울특별시,강남구,개포동,12,성원대치2단지아파트,39.53,202408,16,132000,13,1992,2024-08-16,성원대치2단지아파트
서울특별시,강남구,개포동,185,개포주공7단지,73.26,202408,15,264000,5,1983,2024-08-15,개포주공7단지
서울특별시,강남구,개포동,185,개포주공6단지,60.13,202408,15,240000,3,1983,2024-08-15,개포주공6단지
서울특별시,강남구,개포동,12,성원대치2단지아파트,39.53,202408,15,129000,13,1992,2024-08-15,성원대치2단지아파트
서울특별시,동대문구,휘경동,57,주공2,39.98,202408,14,44300,8,2001,2024-08-14,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,59.13,202408,13,67700,21,2001,2024-08-13,휘경동주공2
서울특별시,광진구,광장동,218-1,극동2,84.55,202408,10,169500,12,1989,2024-08-10,극동2
서울특별시,동대문구,휘경동,57,주공1,84.82,202408,10,74000,1,2001,2024-08-10,휘경동주공1
서울특별시,노원구,하계동,284,청구,70.69,202408,10,68000,3,1988,2024-08-10,하계동청구
서울특별시,노원구,하계동,284,한신1,27.0,202408,10,29000,8,1988,2024-08-10,하계동한신1
서울특별시,동작구,사당동,105,극동(105),109.7,202408,10,105000,3,1993,2024-08-10,극동(105)
서울특별시,동작구,사당동,105,사당우성3,84.66,202408,10,111900,4,1993,2024-08-10,사당우성3
서울특별시,동작구,사당동,105,극동(105),84.32,202408,10,104500,18,1993,2024-08-10,극동(105)
서울특별시,동작구,사당동,105,극동(105),84.32,202408,10,104500,18,1993,2024-08-10,극동(105)
서울특별시,강남구,개포동,185,개포주공6단지,83.21,202408,9,275000,3,1983,2024-08-09,개포주공6단지
서울특별시,강남구,개포동,12,성원대치2단지아파트,39.53,202408,8,132000,13,1992,2024-08-08,성원대치2단지아파트
서울특별시,동작구,사당동,105,사당우성3,108.08,202408,7,119000,12,1993,2024-08-07,사당우성3
서울특별시,강남구,개포동,12,삼익대청아파트,60.0,202408,7,165000,6,1992,2024-08-07,삼익대청아파트
서울특별시,강남구,개포동,12,삼익대청아파트,60.0,202408,7,165000,6,1992,2024-08-07,삼익대청아파트
서울특별시,노원구,하계동,284,한신1,35.28,202408,7,39000,12,1988,2024-08-07,하계동한신1
서울특별시,노원구,하계동,284,청구,84.97,202408,7,84500,9,1988,2024-08-07,하계동청구
서울특별시,동작구,사당동,105,극동(105),119.91,202408,6,122000,7,1993,2024-08-06,극동(105)
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202408,5,141000,2,1992,2024-08-05,삼익대청아파트
서울특별시,동작구,사당동,105,사당우성3,59.89,202408,4,100000,10,1993,2024-08-04,사당우성3
서울특별시,동작구,사당동,105,신동아4,59.89,202408,3,100000,6,1993,2024-08-03,사당동신동아4
서울특별시,동작구,사당동,105,극동(105),46.75,202408,3,77000,10,1993,2024-08-03,극동(105)
서울특별시,강남구,개포동,12,성원대치2단지아파트,33.18,202408,3,105000,3,1992,2024-08-03,성원대치2단지아파트
서울특별시,동작구,사당동,105,신동아4,59.89,202408,3,100000,6,1993,2024-08-03,사당동신동아4
서울특별시,동작구,사당동,105,극동(105),46.75,202408,3,77000,8,1993,2024-08-03,극동(105)
서울특별시,동작구,사당동,105,사당우성2,59.89,202408,2,92500,1,1993,2024-08-02,사당우성2
서울특별시,노원구,하계동,284,한신1,35.28,202407,30,40500,12,1988,2024-07-30,하계동한신1
서울특별시,광진구,광장동,218-1,극동1,126.94,202407,30,228500,7,1985,2024-07-30,극동1
서울특별시,광진구,광장동,218-1,극동2,75.55,202407,30,154300,1,1989,2024-07-30,극동2
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202407,29,149000,4,1992,2024-07-29,삼익대청아파트
서울특별시,노원구,하계동,284,청구,70.69,202407,29,70000,13,1988,2024-07-29,하계동청구
서울특별시,동작구,사당동,105,사당우성2,118.25,202407,28,152000,10,1993,2024-07-28,사당우성2
서울특별시,노원구,하계동,284,한신1,27.0,202407,27,29500,2,1988,2024-07-27,하계동한신1
서울특별시,노원구,하계동,284,한신1,27.0,202407,27,31000,9,1988,2024-07-27,하계동한신1
서울특별시,동작구,사당동,105,사당우성3,46.75,202407,27,75000,4,1993,2024-07-27,사당우성3
서울특별시,동작구,사당동,105,사당우성2,59.89,202407,27,109000,14,1993,2024-07-27,사당우성2
서울특별시,동작구,사당동,105,사당우성2,84.66,202407,27,125000,11,1993,2024-07-27,사당우성2
서울특별시,강남구,개포동,185,개포주공7단지,60.76,202407,27,238000,7,1983,2024-07-27,개포주공7단지
서울특별시,광진구,광장동,218-1,극동2,84.55,202407,27,175000,9,1989,2024-07-27,극동2
서울특별시,동대문구,휘경동,57,주공2,59.13,202407,27,64500,11,2001,2024-07-27,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.98,202407,27,43000,9,2001,2024-07-27,휘경동주공2
서울특별시,광진구,광장동,218-1,극동2,84.55,202407,26,175000,11,1989,2024-07-26,극동2
서울특별시,강남구,개포동,12,성원대치2단지아파트,39.53,202407,26,95000,9,1992,2024-07-26,성원대치2단지아파트
서울특별시,동작구,사당동,105,극동(105),84.32,202407,26,104000,5,1993,2024-07-26,극동(105)
서울특별시,노원구,하계동,284,한신2,44.52,202407,25,47000,5,1988,2024-07-25,하계동한신2
서울특별시,동작구,사당동,105,극동(105),119.5,202407,25,110000,17,1993,2024-07-25,극동(105)
서울특별시,동작구,사당동,105,신동아4,59.89,202407,24,97000,7,1993,2024-07-24,사당동신동아4
서울특별시,동작구,사당동,105,신동아4,59.89,202407,24,97000,7,1993,2024-07-24,사당동신동아4
서울특별시,동작구,사당동,105,신동아4,59.89,202407,24,97000,7,1993,2024-07-24,사당동신동아4
서울특별시,노원구,하계동,284,한신2,44.52,202407,24,49500,10,1988,2024-07-24,하계동한신2
서울특별시,노원구,하계동,284,한신1,35.28,202407,24,36500,4,1988,2024-07-24,하계동한신1
서울특별시,노원구,하계동,284,한신1,27.0,202407,23,30000,15,1988,2024-07-23,하계동한신1
서울특별시,동작구,사당동,105,신동아4,59.89,202407,21,94700,8,1993,2024-07-21,사당동신동아4
서울특별시,노원구,하계동,284,한신1,35.28,202407,20,35500,2,1988,2024-07-20,하계동한신1
서울특별시,노원구,하계동,284,한신1,27.0,202407,20,31000,8,1988,2024-07-20,하계동한신1
서울특별시,동대문구,휘경동,57,주공1,114.96,202407,20,87000,6,2001,2024-07-20,휘경동주공1
서울특별시,동대문구,휘경동,57,주공2,39.98,202407,20,43600,14,2001,2024-07-20,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.97,202407,20,38500,4,2001,2024-07-20,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.98,202407,20,42300,3,2001,2024-07-20,휘경동주공2
서울특별시,강남구,개포동,12,삼익대청아파트,60.0,202407,20,159500,3,1992,2024-07-20,삼익대청아파트
서울특별시,강남구,개포동,12,삼익대청아파트,39.53,202407,20,132500,11,1992,2024-07-20,삼익대청아파트
서울특별시,동작구,사당동,105,극동(105),119.91,202407,20,118000,6,1993,2024-07-20,극동(105)
서울특별시,동작구,사당동,105,사당우성2,84.66,202407,20,130000,12,1993,2024-07-20,사당우성2
서울특별시,동작구,사당동,105,사당우성3,46.75,202407,19,72000,2,1993,2024-07-19,사당우성3
서울특별시,동대문구,휘경동,57,주공1,84.29,202407,19,78000,19,2001,2024-07-19,휘경동주공1
