complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
금호삼성래미안,1,성동구,금호동1가,서울특별시 성동구 독서당로 343,독서당로,343,금호동1가1500
가락대림아파트,1,송파구,가락동,서울특별시 송파구 송이로 88,송이로,88,가락동70-20
e편한세상신촌아파트,1,서대문구,북아현동,서울특별시 서대문구 북아현로1길 17,북아현로1길,17,북아현동1014
e편한세상금호파크힐스,1,성동구,금호동1가,서울특별시 성동구 금호로 140,금호로,140,금호동1가1823
e편한세상 서대문,1,서대문구,홍은동,서울특별시 서대문구 통일로 505,통일로,505,홍은동469
e편한세상 문래 에듀플라츠,1,영등포구,문래동6가,서울특별시 영등포구 선유서로 50,선유서로,50,문래동6가58
e편한세상 고덕 어반브릿지,1,강동구,상일동,서울특별시 강동구 고덕로98길 75,고덕로98길,75,상일동554-38
S-아파트,1,강남구,역삼동,서울특별시 강남구 역삼동 테헤란로 13길 31-4,테헤란로13길,1931-04-01 00:00:00,서울강남구테헤란로13길31-4
DMC파인시티자이,1,은평구,수색동,서울특별시 은평구 은평터널로 15,은평터널로,15,수색동359-9
DMC우방,1,은평구,증산동,서울특별시 은평구 증산로3길 26-1,증산로3길,2025-01-26 00:00:00,서울은평구증산로3길26-1
DMC문영퀸즈파크,1,은평구,증산동,서울특별시 은평구 증산로13길 44-5,증산로13길,1944-05-01 00:00:00,서울은평구증산로13길44-5
경남아너스빌,1,양천구,신정동,서울특별시 양천구 목동동로10길 16-6,목동동로10길,2025-06-16 00:00:00,서울양천구목동동로10길16-6
경향파크아파트,1,은평구,구산동,,,,nan
고덕 아르테온 아파트,1,강동구,상일동,서울특별시 강동구 고덕로 360,고덕로,360,상일동520
고덕주공6단지,1,강동구,상일동,,,,nan
금호벽산,1,성동구,금호동1가,서울특별시 성동구 금호로 100,금호로,100,금호동1가633
금호두산,1,성동구,금호동3가,서울특별시 성동구 동호로 100,동호로,100,금호동3가1331
금호동롯데아파트,1,성동구,금호동4가,서울특별시 성동구 동호로 84,동호로,84,금호동4가1250
금호대우,1,성동구,금호동4가,서울특별시 성동구 독서당로 272,독서당로,272,금호동4가800
금호1차푸르지오,1,성동구,금호동3가,서울특별시 성동구 금호산8길 5,금호산8길,5,금호동3가917
금강주택,1,종로구,평창동,서울특별시 종로구 평창12길 8-22,평창12길,2025-08-22 00:00:00,서울종로구평창12길8-22
그란츠 리버파크,1,강동구,성내동,서울특별시 강동구 천호대로 1050,천호대로,1050,성내동15
궁동우신빌라,1,구로구,궁동,서울특별시 구로구 오리로 1265,오리로,1265,궁동213-21
구의세양아파트,1,광진구,구의동,서울특별시 광진구 구의강변로 84,구의강변로,84,구의동658
구로월드,1,구로구,구로동,서울특별시 구로구 구로중앙로 229,구로중앙로,229,구로동1262
광화문스페이스본 아파트,1,종로구,신문로2가,서울특별시 종로구 사직로8길 4,사직로8길,4,사직동9
광장일신워커힐,1,광진구,광장동,,,,nan
광장11현대홈타운,1,광진구,광장동,서울특별시 광진구 아차산로69길 29,아차산로69길,29,광장동579
관악우정하이비전아파트 1단지,1,관악구,신림동,서울특별시 관악구 양지길 50-5,양지길,1950-05-01 00:00:00,서울관악구양지길50-5
