sido,gugun,dong,deal_ym,aptcode,price_84m2,built_date,households
서울특별시,강남구,논현동,202408,A13583301,176909,2003-12-24,160.0
서울특별시,강남구,논현동,202409,A13501002,86800,2004-11-26,260.0
서울특별시,강남구,논현동,202409,A13501004,211578,1997-07-04,644.0
서울특별시,강남구,논현동,202409,A13501006,210801,2014-12-08,368.0
서울특별시,강남구,논현동,202409,A13582002,173549,1985-08-03,548.0
서울특별시,강남구,논현동,202409,A13583301,123250,2003-12-24,160.0
서울특별시,강남구,논현동,202410,A13501002,93723,2004-11-26,260.0
서울특별시,강남구,논현동,202410,A13501004,186263,1997-07-04,644.0
서울특별시,강남구,논현동,202410,A13501006,237957,2014-12-08,368.0
서울특별시,강남구,논현동,202410,A13582002,224534,1985-08-03,548.0
서울특별시,강남구,논현동,202410,B11680022,115436,,113.0
서울특별시,강남구,논현동,202411,A13501001,193836,2004-06-02,203.0
서울특별시,강남구,논현동,202411,A13501002,94894,2004-11-26,260.0
서울특별시,강남구,논현동,202411,A13501004,172327,1997-07-04,644.0
서울특별시,강남구,논현동,202411,A13501006,247596,2014-12-08,368.0
서울특별시,강남구,논현동,202411,A13582002,217101,1985-08-03,548.0
서울특별시,강남구,논현동,202412,A13501001,193836,2004-06-02,203.0
서울특별시,강남구,논현동,202412,A13501002,92120,2004-11-26,260.0
서울특별시,강남구,논현동,202412,A13501004,199818,1997-07-04,644.0
서울특별시,강남구,논현동,202412,A13501006,239781,2014-12-08,368.0
서울특별시,강남구,논현동,202412,A13582002,196534,1985-08-03,548.0
서울특별시,강남구,대치동,202401,A10024102,287000,2021-09-17,273.0
서울특별시,강남구,대치동,202401,A13528004,246770,1983-11-28,2436.0
서울특별시,강남구,대치동,202401,A13583403,238025,1984-01-27,476.0
서울특별시,강남구,대치동,202401,A13583404,221658,1983-03-07,630.0
서울특별시,강남구,대치동,202401,A13583507,259229,1979-08-30,4424.0
서울특별시,강남구,대치동,202401,A13583604,245349,1983-12-12,1034.0
서울특별시,강남구,대치동,202402,A13528003,265109,2000-07-31,960.0
서울특별시,강남구,대치동,202402,A13528004,246836,1983-11-28,2436.0
서울특별시,강남구,대치동,202402,A13528005,96396,2004-04-29,372.0
서울특별시,강남구,대치동,202402,A13528007,213054,1989-12-06,354.0
서울특별시,강남구,대치동,202402,A13528102,281298,2008-06-03,768.0
서울특별시,강남구,대치동,202402,A13583404,196814,1983-03-07,630.0
서울특별시,강남구,대치동,202402,A13583507,257040,1979-08-30,4424.0
서울특별시,강남구,대치동,202402,A13583604,230796,1983-12-12,1034.0
서울특별시,강남구,대치동,202402,A13583701,227283,1999-06-14,630.0
서울특별시,강남구,대치동,202403,A10024102,274680,2021-09-17,273.0
서울특별시,강남구,대치동,202403,A10024815,197680,2008-02-22,144.0
서울특별시,강남구,대치동,202403,A10026924,294967,2017-06-20,239.0
서울특별시,강남구,대치동,202403,A13528003,230376,2000-07-31,960.0
서울특별시,강남구,대치동,202403,A13528004,256216,1983-11-28,2436.0
서울특별시,강남구,대치동,202403,A13528005,87512,2004-04-29,372.0
서울특별시,강남구,대치동,202403,A13528102,271981,2008-06-03,768.0
서울특별시,강남구,대치동,202403,A13528103,259476,2005-01-28,805.0
서울특별시,강남구,대치동,202403,A13583402,228658,1983-11-30,364.0
서울특별시,강남구,대치동,202403,A13583507,240647,1979-08-30,4424.0
서울특별시,강남구,대치동,202403,A13583604,267450,1983-12-12,1034.0
서울특별시,강남구,대치동,202403,A13583701,238712,1999-06-14,630.0
서울특별시,강남구,대치동,202403,A13584101,168534,2004-09-30,276.0
서울특별시,강남구,대치동,202404,A10024102,272465,2021-09-17,273.0
서울특별시,강남구,대치동,202404,A13528003,246405,2000-07-31,960.0
서울특별시,강남구,대치동,202404,A13528004,262094,1983-11-28,2436.0
서울특별시,강남구,대치동,202404,A13528102,286745,2008-06-03,768.0
서울특별시,강남구,대치동,202404,A13528103,274005,2005-01-28,805.0
서울특별시,강남구,대치동,202404,A13528105,303061,1983-12-17,1140.0
서울특별시,강남구,대치동,202404,A13583507,252104,1979-08-30,4424.0
서울특별시,강남구,대치동,202404,A13583604,249390,1983-12-12,1034.0
서울특별시,강남구,대치동,202405,A10024815,201167,2008-02-22,144.0
서울특별시,강남구,대치동,202405,A10024821,159701,2002-08-29,142.0
서울특별시,강남구,대치동,202405,A13528003,237338,2000-07-31,960.0
서울특별시,강남구,대치동,202405,A13528004,242978,1983-11-28,2436.0
서울특별시,강남구,대치동,202405,A13528007,220665,1989-12-06,354.0
서울특별시,강남구,대치동,202405,A13528103,296672,2005-01-28,805.0
서울특별시,강남구,대치동,202405,A13528105,306040,1983-12-17,1140.0
서울특별시,강남구,대치동,202405,A13583402,246043,1983-11-30,364.0
서울특별시,강남구,대치동,202405,A13583404,202058,1983-03-07,630.0
서울특별시,강남구,대치동,202405,A13583507,249918,1979-08-30,4424.0
서울특별시,강남구,대치동,202405,A13583604,266868,1983-12-12,1034.0
서울특별시,강남구,대치동,202405,A13583701,233214,1999-06-14,630.0
서울특별시,강남구,대치동,202406,A10024815,196305,2008-02-22,144.0
서울특별시,강남구,대치동,202406,A13528003,238933,2000-07-31,960.0
서울특별시,강남구,대치동,202406,A13528004,240905,1983-11-28,2436.0
서울특별시,강남구,대치동,202406,A13528102,290478,2008-06-03,768.0
서울특별시,강남구,대치동,202406,A13583402,216355,1983-11-30,364.0
서울특별시,강남구,대치동,202406,A13583403,201294,1984-01-27,476.0
서울특별시,강남구,대치동,202406,A13583404,206665,1983-03-07,630.0
서울특별시,강남구,대치동,202406,A13583507,261366,1979-08-30,4424.0
서울특별시,강남구,대치동,202406,A13583604,301878,1983-12-12,1034.0
서울특별시,강남구,대치동,202406,A13583701,243612,1999-06-14,630.0
서울특별시,강남구,대치동,202406,B11680063,191901,,54.0
서울특별시,강남구,대치동,202407,A10024102,283309,2021-09-17,273.0
