complex_name,unmatched_count,gugun,dong,jibun
당산2가현대홈타운,37,영등포구,당산동2가,164
건영1,37,중랑구,상봉동,1
세곡푸르지오,36,강남구,세곡동,533
한보미도맨션1,36,강남구,대치동,511
DMC센트럴아이파크,36,서대문구,남가좌동,388
창동주공4단지,36,도봉구,창동,373
돈암동삼성,36,성북구,돈암동,15-1
우성3,36,광진구,자양동,516
송파삼성래미안아파트,36,송파구,송파동,162
목동센트럴아이파크위브4단지,36,양천구,신월동,1078
고덕 아이파크,36,강동구,고덕동,499
고덕센트럴푸르지오,36,강동구,고덕동,210-1
신안,35,강서구,마곡동,422
목동신시가지1,35,양천구,목동,901
래미안아름숲,35,동대문구,전농동,688
개포주공5단지,35,강남구,개포동,187
영등포아트자이,35,영등포구,도림동,821
서초푸르지오써밋,35,서초구,서초동,1311-10
e편한세상영등포아델포레,35,영등포구,대림동,1127
방화그린,35,강서구,방화동,839
마곡중앙하이츠아파트,35,강서구,방화동,852
목동신시가지10,35,양천구,신정동,311
반포써밋,34,서초구,반포동,1342
한양1차(영동한양),34,강남구,압구정동,490
흑석한강센트레빌Ⅱ,34,동작구,흑석동,339
홍제한양,34,서대문구,홍제동,82
한남하이츠,34,성동구,옥수동,220-1
우방아파트,34,노원구,공릉동,108
주공3,34,강서구,등촌동,688
장미,34,영등포구,여의도동,40
목동신시가지13,34,양천구,신정동,327
이수역리가,34,동작구,사당동,1157
화성.두산아파트,34,중랑구,신내동,656
래미안공덕4차,34,마포구,공덕동,464
개봉푸르지오,34,구로구,개봉동,492
e편한세상신촌2단지,34,서대문구,북아현동,1013
신림푸르지오,34,관악구,신림동,1730
금호삼성래미안,34,성동구,금호동1가,1500
신반포자이,34,서초구,잠원동,160
센트럴파크,34,용산구,한강로3가,98
래미안웰스트림,34,마포구,현석동,225
목동신시가지8,34,양천구,신정동,314
e편한세상독산더타워,34,금천구,독산동,1007-13
럭키,34,도봉구,도봉동,595
서울가든,33,양천구,신월동,475
대성유니드,33,양천구,신월동,1033
중앙하이츠빌,33,동대문구,이문동,84
주공10,33,강서구,등촌동,702
디에이치자이개포,33,강남구,일원동,743
창신쌍용2,33,종로구,창신동,703
주공1,33,구로구,구로동,685-222
길음뉴타운9단지(래미안),33,성북구,길음동,1286
목동신시가지4,33,양천구,목동,904
한보미도맨션2,33,강남구,대치동,511
이촌코오롱(A),33,용산구,이촌동,412
마포래미안푸르지오1단지,33,마포구,아현동,777
한솔솔파크,33,강동구,둔촌동,611
인왕산현대,33,서대문구,홍제동,460
백련산힐스테이트4차,33,은평구,응암동,764
e편한세상백련산,33,은평구,응암동,771
롯데캐슬에듀포레,32,동작구,흑석동,340
청구3,32,노원구,하계동,251-12
힐스테이트녹번,32,은평구,녹번동,282
e편한세상 수색 에코포레,32,은평구,수색동,415-1
반포센트럴자이,32,서초구,잠원동,162
신공덕래미안2차,32,마포구,신공덕동,159
금호자이1차,32,성동구,금호동2가,1215
동부골든,32,구로구,오류동,338
경남아너스빌(1356-0),32,강북구,미아동,1356
이편한세상화랑대,32,중랑구,묵동,396
하버라인3단지,32,구로구,항동,242
정릉우성아파트 101~105동,32,성북구,정릉동,1020
대림e-편한세상4,32,구로구,신도림동,646
안암골벽산,32,동대문구,제기동,153
박석고개1단지힐스테이트(116~131동)BL2-1,32,은평구,진관동,102
럭키(963),32,강남구,도곡동,963
자양우성7,32,광진구,자양동,783-1
임광,32,노원구,상계동,694
상암월드컵파크4단지,32,마포구,상암동,1655
돈암코오롱하늘채,32,성북구,돈암동,644
래미안하이베르,32,중구,신당동,851
롯데캐슬위너,31,양천구,목동,956
거여4단지,31,송파구,거여동,293
코오롱아파트,31,송파구,방이동,212-8
세림,31,성동구,마장동,784
동대문더퍼스트데시앙,31,동대문구,장안동,587
타워팰리스1,31,강남구,도곡동,467
미주,31,동대문구,청량리동,235-1
한화꿈에그린,31,노원구,중계동,598
흑석한강센트레빌,31,동작구,흑석동,335
청구1차,31,서대문구,홍제동,453
양지마을(대림)2,31,노원구,중계동,588
화곡푸르지오,31,강서구,화곡동,1091
용산롯데캐슬센터포레,31,용산구,효창동,287
청화1,31,용산구,이태원동,22-2
한화오벨리스크,31,송파구,가락동,78-1
구로두산위브,31,구로구,구로동,1278
금강KCC,30,동작구,동작동,331
목동신시가지6,30,양천구,목동,911
청암2단지,30,노원구,상계동,1276
장안힐스테이트,30,동대문구,장안동,329-2
롯데낙천대,30,종로구,평창동,72
마포센트럴 아이파크,30,마포구,아현동,802
상계주공13(고층),30,노원구,상계동,637
수서,30,강남구,일원동,711
한양수자인사가정파크,30,중랑구,면목동,1543
마곡수명산파크5단지,30,강서구,내발산동,749
홍제센트럴IPARK,30,서대문구,홍제동,473
건영3,30,노원구,중계동,360-15
광장현대9단지,30,광진구,광장동,576
현대(2-4차),29,송파구,오금동,43
신림현대,29,관악구,신림동,1694
흑석동양아파트,29,동작구,흑석동,328
시영3차(라이프)아파트,29,노원구,공릉동,715
힐스테이트 강동 리버뷰,29,강동구,암사동,675
우장산롯데캐슬,29,강서구,화곡동,1145
풍림아이원,29,노원구,월계동,944
신성둔촌미소지움1,29,강동구,둔촌동,546
연희파크푸르지오,29,서대문구,연희동,747
광진코지웰,29,광진구,화양동,113-1
독립문삼호,29,서대문구,영천동,100
북한산힐스테이트1차아파트,29,은평구,불광동,635
삼익포레스트아파트,29,노원구,공릉동,737
현대5,29,광진구,광장동,554-7
대림(1차),29,성동구,응봉동,100
성원2,29,양천구,목동,709-2
대림(169-8),29,동작구,사당동,169-8
광장힐스테이트,29,광진구,광장동,582
"엘지,쌍용아파트",29,중랑구,상봉동,484
길음뉴타운경남아너스빌,29,성북구,정릉동,1015
강서한강자이,29,강서구,가양동,1500
경희궁자이(3단지),29,종로구,평동,233
일신건영휴먼빌아파트,28,성북구,돈암동,524
상록수,28,강남구,일원동,734
타워팰리스2,28,강남구,도곡동,467-17
현대벤처빌,28,마포구,노고산동,107-36
명수대현대,28,동작구,흑석동,10
금호현대,28,성동구,응봉동,98
건영2차아파트,28,중랑구,상봉동,63
